http://www.suzies.cz/,Suzies,Údolní 306/4,602 00,Brno
http://www.piazza.cz/,Ristorante Piazza,náměstí Svobody  702/9,602 00,Brno
http://www.restauracejakoby.cz/,Restaurace Jakoby,Jakubské náměstí 128/6,602 00,Brno
http://www.restauracelazza.cz/,Restaurace Lazza,Tuřanka  574/34,627 00,Brno
http://www.sportcentrumluzanky.cz/restaurace/,Restaurace Na Halách ,Střední  26,602 00,Brno
http://restauracerubin.cz/,Restaurace Rubín,Makovského náměstí 2574/1,616 00,Brno
http://putcha.webnode.cz,Restaurace U Putchy ,Minská  3104/34, 616 0,Brno
http://drevenaruze.cz,Dřevěná růže,Provazníkova 40,613 00,Brno
http://www.bureska.cz/,Obědový restaurant Bureška,Burešova  938/17, 602 0,Brno
http://bystrckaoaza.cz/,Bystrcká Oáza,Lýskova 2, 635 0,Brno
http://restaurace-semilasso.cz,Music Café Semilasso,Palackého třída 126,612 00,Brno
http://www.samovar-brno.cz/,Samovar,Koliště 5,602 00,Brno
http://www.ukosa.cz,Restaurace U Kosa,Kristenova 23/14,624 00,Brno
http://www.namlatech.cz/,Na Mlatech,Mikulčická 1155/2b,627 00,Brno
http://www.labouchee.cz,La Bouchée,Údolní 567/33,602 00,Brno
http://www.charliessquare.cz/denni-menu,Charlie Square,Masarykova  430/25,602 00,Brno
http://www.statlbrno.cz/,Štatl,Náměstí Svobody  3,602 00,Brno
http://www.mazanyandel.cz/,Mazaný Anděl,Šilingrovo náměstí 257/3,602 00,Brno
http://restauraceulva.cz/,Restaurace U Lva,Hrázní  232/2d, 635 0,Brno
http://www.prvnidoubravnicka.cz/,První Doubravnická,Milady Horákové  1920/1a ,602 00,Brno
http://www.forkys.eu/,Forkys,Jezuitská  6/1 ,602 00,Brno
http://www.hotelmyslivna.cz/,Hotel Myslivna,Nad Pisárkami  276/1, 623 0,Brno
http://kounicova.kometapub.cz/,Kometa Pub,Kounicova  685/20,602 00,Brno
http://www.centralrestaurant.cz/,Restaurant - Cafe Central,třída Kpt. Jaroše 1839/20,602 00,Brno
http://www.retroconsistorium.cz/,Retro Consistorium,Mečová 4,60200,Brno
http://www.restauracehnizdo.cz,Restaurace Hnízdo,Kigginsova  1483/2,627 00,Brno
http://www.u-nemcu.cz/,U Němců,Kytnerova 43/6,62100,Brno
http://www.restauracebogota.cz,Restaurace Bogota,Nádražní  7, 60200,Brno
http://www.sites.google.com/site/avatarbrno/,Avatár vegetariánská restaurace,Mendlovo náměstí 19/10,603 00,Brno
http://restaurace-wings6.webnode.cz/,Wings,Václavská  39/1,603 00,Brno
http://www.tefiti.cz/,Restaurant bar Tefiti,Zelný trh  4,602 00,Brno
http://www.bilykonicek.cz,U Bílého koníčka ,Sochorova 35,625 00,Brno
http://www.utesare.cz,Hostinec U Tesaře,Grmelova 62/9,639 00,Brno
http://www.restauracemikulasek.cz/,Restaurace Mikulášek,Elgartova  8, 614 0,Brno
http://tulip-restaurant.cz,Tulip restaurant,třída Kpt. Jaroše 1929/10,602 00,Brno
http://www.terasabrno.cz,Terasa,Hněvkovského  192/26,617 00,Brno
http://www.restauracebuffalo.cz,Buffalo American Steakhouse,Křížkovského 22,60300,Brno
http://www.ufidela.cz/,U Fidela,Masarova 2407/7,628 00,Brno
http://www.noemarch.cz/cz/,Noem Arch Restaurant,Cimburkova  564/9,612 00,Brno
http://www.sindelar.cz/jidelna,Jídelna Šindelář,Cejl 60,602 00,Brno
http://www.ilmondo.cz,Il Mondo,nám. 28. dubna  48  ,64100,Brno
